Year,PM,OC,TC,LC
Year 1,21.7,15.6,17.73,1.78
Year 1,27.8,15.6,17.87,2.25
Year 1,24.7,17.2,18.75,1.98
Year 1,15.3,8.3,9.21,0.67
Year 1,18.4,11.3,12.46,0.86
Year 1,14.4,8.4,9.66,1.93
Year 1,19,13.2,14.73,1.51
Year 1,23.7,11.4,13.23,1.98
Year 1,22.4,13.8,17.08,1.69
Year 1,25.6,13.2,15.86,2.3
Year 1,15,15.7,17.27,1.24
Year 1,17,9.3,10.21,1.44
Year 1,23.2,10.5,11.47,1.43
Year 1,17.7,14.2,15.64,1.07
Year 1,11.1,11.6,13.48,0.59
Year 1,29.8,7,7.795,2.1
Year 1,20,19.9,21.2,1.73
Year 1,21.6,14.8,15.65,1.56
Year 1,14.8,12.6,13.51,1.1
Year 1,21,9.1,9.94,
